what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357655400318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655415286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655432650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655438946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655441587
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357655443684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655447798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655453759
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357655458965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655470310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655471040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655471318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655473111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655473424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655474347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655474630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655478695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655486474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655487248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655487468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655490406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655492727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655497415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655525465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655525860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655526906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655533207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655538498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655542214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655545526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655545616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655546388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655553414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655554235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655555996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655574558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655576253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655578761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655580456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357655581809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655589338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655589462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655597149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655600044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655600753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655601446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655604040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655605799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655615201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655617514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357655618961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655626328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655629116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655629686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655632586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357655634355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655638733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655639469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655639648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655641150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655644470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655645216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655645392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655646717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655666278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655666363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357655668617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1357655670166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655673128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655676883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655690246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655693907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655694379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655694812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357655696051
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357655697277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655698325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655704313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357655704968
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1357655706945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655728255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655728357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655734750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655734850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1357655749356
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1357655749660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655756863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655756956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655766862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655766971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655784527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655963680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357655982919
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357655991493
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357655992523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655993281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357655998549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1357655998559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357656000519
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357656002212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357656006527
