what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657637907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657667639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657669126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657699710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657701020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657746773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657752655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657754619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1357657761157
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1357657761367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657776281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657865233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357657867423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657899798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657901543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657905785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657907087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657931706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657947545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357657949777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357657951304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357657951710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1357657952801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357657965538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357657993719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658017999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658039109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658043838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658079005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658124183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658126746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658183807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658190975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658205271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658213515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658214591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658351478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658352246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658653091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658658837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658673485
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357658673499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658678343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658811265
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1357658835772
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1357658835836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357658843867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658925943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658951974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658954463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357658960715
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357659015991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357659022439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357659038980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357659042251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357659093105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357659097440
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357659098565
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357659114985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357661051374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664004361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664006637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664578318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664582646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664583906
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1357664584332
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357664584352
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1357664585453
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1357664585506
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1357664585506
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1357664585526
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1357664585558
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1357664585558
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1357664585558
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1357664585558
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1357664585559
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1357664585560
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1357664585586
